"Story","Title","Result","Date","Stability","Duration (s)"
"Validating Add Pet API","Verify if the pets are added successfully in database","SUCCESS","2021-11-30T16:20:28.403+05:30[Asia/Kolkata]","0.0","10.9"
"Validating Delete Pet API","Verify if we are able to delete pet data on the basis of Id","SUCCESS","2021-11-30T16:20:39.315+05:30[Asia/Kolkata]","0.0","10.63"
"Validating Delete Pet API","Verify if the pet data was deleted by doing a get call on the basis of Id","SUCCESS","2021-11-30T16:20:49.947+05:30[Asia/Kolkata]","0.0","9.93"
"Validating Delete Pet API","Verify if we are not able to delete the pet data again on the basis of same Id","FAILURE","2021-11-30T16:20:59.882+05:30[Asia/Kolkata]","0.0","10.44"
"Validating Get Pet API","Verify if we are able to retrieve pet data on the basis of tags when no tags are provided","SUCCESS","2021-11-30T15:56:47.022+05:30[Asia/Kolkata]","0.0","1.62"
"Validating Get Pet API","Verify if we are able to retrieve pet data on the basis of Id","FAILURE","2021-11-30T16:21:10.333+05:30[Asia/Kolkata]","0.0","13.51"
"Validating Get Pet API","Verify if get api is not accepting junk data","SUCCESS","2021-11-30T16:21:23.846+05:30[Asia/Kolkata]","0.0","2.86"
"Validating Get Pet API","Verify if we are not able to retrieve pet data in case not pet exists for given Id","SUCCESS","2021-11-30T16:21:26.708+05:30[Asia/Kolkata]","0.0","2.56"
"Validating Get Pet API","Verify if we are able to retrieve pet data when no id is provided","SUCCESS","2021-11-30T16:21:29.271+05:30[Asia/Kolkata]","0.0","1.53"
"Validating Get Pet API","Verify if we are not able to retrieve pet data on the basis of tags when no tags are provided","SUCCESS","2021-11-30T16:21:30.805+05:30[Asia/Kolkata]","0.0","1.53"
"Validating Get Pet API","Verify if we are able to retrieve pet data on the basis of tags","FAILURE","2021-11-30T16:21:32.342+05:30[Asia/Kolkata]","0.0","1.45"
"Validating Update Pet API","Verify if the pet data is updated successfully in database","SUCCESS","2021-11-30T16:21:33.805+05:30[Asia/Kolkata]","0.0","11.03"
